gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,liver_448_adjacent_non-tumor_tissue,liver_448_tumor,liver_473_adjacent_non-tumor_tissue,liver_473_tumor,liver_510_adjacent_non-tumor_tissue,liver_510_tumor
AQP9,8610.44875133213,-4.97001934254605,0.469059114910263,-10.5957206342678,3.1192917303371e-26,1.68093126715401e-23,10111.0122389762,447.097651258483,23614.959118806,725.919921692887,16338.9610922275,424.742485031718
CCNB1,813.22553395091,4.57531775528624,0.43579945503615,10.4986770919819,8.75991329388039e-26,4.5856894677279e-23,83.0888290598823,2177.39497594797,62.0285524367424,1286.57533244957,50.8659285159796,1219.39958529531
CLEC4M,470.222710991369,-9.88186005061783,0.943383456948256,-10.4749134382583,1.12640606118865e-25,5.73278107030515e-23,638.885726149635,0,777.424523873838,0,1402.24992125133,2.77609467340992
CYP1A2,5798.49458554894,-10.9634458583783,1.04911185276056,-10.4502163706662,1.46191321294099e-25,7.23923618581213e-23,5876.85042296519,0,23488.1451893798,14.2163020160174,5408.28548059091,3.4701183417624
GCH1,1331.13396178708,-2.99694636143612,0.29381763556205,-10.2000220500828,1.98227493126169e-24,9.55769507646755e-22,2218.69630030172,327.234300674383,2142.05267748217,273.663813808335,2737.13685608961,288.01982236628
HLF,1656.49191280568,-4.71832954140495,0.463667859206252,-10.1760979281208,2.53524574189576e-24,1.19104544828241e-21,2686.9130802743,186.780926677064,2922.23402590875,97.7370763601195,3966.16766942165,79.1186981921828
ECM1,488.650213868044,-4.04829590034252,0.40828645818867,-9.91533228484347,3.5706632984791e-23,1.63554232386835e-20,1067.80373562092,53.6811324701797,895.967979641834,37.3177927920456,801.482062832868,75.6485798504204
RHOB,7546.25222627854,-3.17202167376969,0.320514821192262,-9.89664584611186,4.30470577100068e-23,1.92367851551889e-20,13911.7647574587,1192.75064200865,12437.413969705,1856.11593196627,14406.0558086203,1473.41224791232
GINS1,332.016510428457,3.83379721552916,0.389223353690891,9.8498642981578,6.86365837539574e-23,2.99418925604764e-20,43.7900585585866,678.735414657204,56.5149033312542,603.304316804737,30.2446061446365,579.509763074321
RANBP3L,132.042834066616,-6.65378536062231,0.675686961355489,-9.84743785387573,7.03135428114695e-23,2.99601100323661e-20,185.265632363251,2.20607393713067,352.873542751246,4.44259438000543,246.081113631361,1.38804733670496
XK,188.982381500669,3.96195779651746,0.404256748129336,9.80059780041047,1.11921285886014e-22,4.66050409091714e-20,19.0879742434865,316.939288967773,22.0545964219528,403.387569704493,27.4950964951241,344.929763171183
GPM6A,152.470402877761,-6.48563234542293,0.662651360562594,-9.78739761420938,1.27536099361913e-22,5.19270313890881e-20,389.619238969988,5.1475058533049,286.709753485387,4.44259438000543,228.20930090953,0.694023668352481
NDC80,311.441719364842,3.95066565233859,0.406030463122963,9.72997351467732,2.24651443496076e-22,8.94796466898937e-20,48.2813466158775,576.520655570149,35.8387191856734,697.487317660853,28.8698513198803,481.652425836622
SRPX,162.328098720167,-4.80769866609984,0.494316141122117,-9.72595929233906,2.33692146451528e-22,9.11001597294658e-20,350.320468468693,13.9718016018276,261.89833251069,5.33111325600652,328.566403116733,13.8804733670496
PTGFR,779.319651128221,4.72271685267206,0.487477288318637,9.68807566186566,3.38852752084972e-22,1.29342919243768e-19,81.9660070455595,1522.92637459921,30.3250700801852,1125.75341589338,57.7397026397606,1857.20733651124
PDE2A,338.331030053725,-3.96390032524173,0.40926818414069,-9.68533709397529,3.48058421170067e-22,1.30145436585264e-19,528.849168746007,55.1518484282668,634.069647131144,29.3211229080358,745.117115017863,37.477278091034
IDO2,115.182869794605,-6.83241739015311,0.707976739929292,-9.65062410219223,4.88574699092838e-22,1.7903331273558e-19,214.459004735642,3.67678989521779,268.79039389255,0,202.088959239162,2.08207100505744
GDF2,298.876650226772,-12.0464185097775,1.2491281774681,-9.6438609960707,5.21873085179386e-22,1.87485464052092e-19,604.07824370563,0,525.175077297752,0,664.006580357247,0
BUB1,470.739521679462,4.74323662122036,0.495706977649472,9.56862992671939,1.08331693467793e-21,3.81702555330175e-19,52.7726346731685,1086.12373504733,26.189833251069,660.169524868807,21.9960771960993,977.185325040293
ENAH,4250.49250388761,3.48284746021835,0.364388007080912,9.55807379095491,1.1996867810162e-21,4.14729456637335e-19,922.959695773287,8994.16344168175,584.44680518175,7939.80467594571,585.645555346144,6475.934849397
EXO1,257.3712002164,4.85906411736446,0.508973273637107,9.54679620531299,1.33769093669909e-21,4.53873580411123e-19,15.7195082005183,385.327581018824,19.2977718692087,737.470667080902,16.4970578970745,369.914615231872
B3GAT1,185.168938736282,-5.41722814100321,0.568754772116076,-9.52471681397623,1.65492508910017e-21,5.51300681499877e-19,382.882306884052,6.61822181139202,421.794156569848,15.1048208920185,280.449984250266,4.16414201011488
LRCOL1,112.013760462778,-6.79028317000676,0.720386478490468,-9.42588925910359,4.2647625478746e-21,1.39533891789569e-18,298.670655809847,1.47071595808712,197.112955521204,0.888518876001086,170.469598269769,3.4701183417624
